CONSULTA DE CENTROS Y SERVICIOS EDUCATIVOS;;;;;;;;;;;;
AREA TERRITORIAL;CODIGO CENTRO;TIPO DE CENTRO;CENTRO;DOMICILIO;MUNICIPIO;DISTRITO MUNICIPAL;COD. POSTAL;TELEFONO;FAX;INTEGRACION PREFERENTE;TITULARIDAD;SERVICIOS
Madrid-Norte;28041147;E MUN. MUS-DANZA;ALCOBENDAS;Calle De Ruperto Chapí, 22 ;Alcobendas;-;28100;916597600;916523215;-;Público;-;
Madrid-Sur;28064494;E MUN. MUS-DANZA;ALDEA DEL FRESNO;Calle Vistillas ;Aldea del Fresno;-;28620;918633702;915275822;-;Público;-;
Madrid-Este;28049997;E MUN. MUS-DANZA;BELMONTE DE TAJO;Calle Tomás Díaz Vázquez, 8 ;Belmonte de Tajo;-;28390;918747215;918747120;-;Público;-;
Madrid-Sur;28071115;E MUN. MUS-DANZA;CADALSO DE LOS VIDRIOS;Calle Maestro Enrique Gullón, 6 ;Cadalso de los Vidrios;-;28640;918640723;918640949;-;Público;-;
Madrid-Oeste;28050011;E MUN. MUS-DANZA;CERCEDILLA;Calle De La Carrera Del Señor, 7 ;Cercedilla;-;28470;918523620;918522200;-;Público;-;
Madrid-Sur;28050033;E MUN. MUS-DANZA;CIEMPOZUELOS;Calle Mayor, 1 ;Ciempozuelos;-;28350;918015086;918932547;-;Público;-;
Madrid-Este;28058421;E MUN. MUS-DANZA;DAGANZO DE ARRIBA;Carretera A Fresno, S/n ;Daganzo de Arriba;-;28814;918845520;918845520;-;Público;-;
Madrid-Oeste;28059954;E MUN. MUS-DANZA;EL ESCORIAL;Calle De Alfonso Xiii, 6 ;Escorial, El;-;28280;918902764;918906352;-;Público;-;
Madrid-Oeste;28068724;E MUN. MUS-DANZA;FRESNEDILLAS DE LA OLIVA;Calle Del Caño, 8 ;Fresnedillas de la Oliva;-;28214;918989009;918989318;-;Público;-;
Madrid-Norte;28058056;E MUN. MUS-DANZA;GUADALIX DE LA SIERRA;Avenida Alejandro Rubio, 21 ;Guadalix de la Sierra;-;28794;918470006;918471045;-;Público;-;
Madrid-Oeste;28040325;E MUN. MUS-DANZA;JOAQUIN RODRIGO;Avenida Camino Del Caño, 2 ;Rozas de Madrid, Las;-;28231;916409880;916409919;-;Público;-;
Madrid-Norte;28059929;E MUN. MUS-DANZA;LA CABRERA;Avenida Del Generalísimo, 96 ;Cabrera, La;-;28751;918689530;918688127;-;Público;-;
Madrid-Norte;28056618;E MUN. MUS-DANZA;MANZANARES EL REAL;Calle De La Cañada, 26 ;Manzanares el Real;-;28410;918539840;918539825;-;Público;-;
Madrid-Este;28058433;E MUN. MUS-DANZA;MEJORADA DEL CAMPO;Plaza De La Ilustración, 9 ;Mejorada del Campo;-;28840;916793379;916793606;-;Público;-;
Madrid-Oeste;28069571;E MUN. MUS-DANZA;MORALZARZAL;Avenida De Salvador Sánchez Frascuelo, 26 ;Moralzarzal;-;28411;918576900;918577600;-;Público;-;
Madrid-Sur;28058445;E MUN. MUS-DANZA;NAVALCARNERO;Calle De La Libertad, 31 ;Navalcarnero;-;28600;918101218;918101219;-;Público;-;
Madrid-Capital;28071139;E MUN. MUS-DANZA;PLACIDO DOMINGO;Calle De Téllez, 31 ;Madrid;Retiro;28007;915019081;-;-;Público;-;
Madrid-Oeste;28058457;E MUN. MUS-DANZA;QUIJORNA;Plaza De La Iglesia, 1 ;Quijorna;-;28693;918168138;918168300;-;Público;-;
Madrid-Norte;28058469;E MUN. MUS-DANZA;SAN AGUSTIN DE GUADALIX;Plaza De La Constitución, 8 ;San Agustín del Guadalix;-;28750;918418002;918418493;-;Público;-;
Madrid-Este;28071127;E MUN. MUS-DANZA;SERRACINES;Travesia Celestino Martín ;Fresno de Torote;-;28815;918791845;918791462;-;Público;-;
Madrid-Sur;28058470;E MUN. MUS-DANZA;SEVILLA LA NUEVA;Plaza De Sevilla, 2 ;Sevilla la Nueva;-;28609;918130232;918130617;-;Público;-;
Madrid-Este;28046741;E MUN. MUS-DANZA;S.FERNANDO DE HENARES;Plaza Olof Palme, S/n ;San Fernando de Henares;-;28830;916741114;916694992;-;Público;-;
Madrid-Norte;28067173;E MUN. MUS-DANZA;TALAMANCA DE JARAMA;Calle De La Fuente Del Arca, 19 ;Talamanca de Jarama;-;28160;918417007;918417055;-;Público;-;
Madrid-Este;28048518;E MUN. MUS-DANZA;TIELMES;Calle Real, 39 ;Tielmes;-;28550;918746002;918746620;-;Público;-;
Madrid-Sur;28058482;E MUN. MUS-DANZA;TORREJON DE VELASCO;Calle San Nicasio ;Torrejón de Velasco;-;28990;918161424;918161550;-;Público;-;
Madrid-Oeste;28059942;E MUN. MUS-DANZA;VALDEMORILLO;Calle Paz ;Valdemorillo;-;28210;918978578;918993745;-;Público;-;
Madrid-Este;28050148;E MUN. MUS-DANZA;VELILLA;Calle Olivar, 15 ;Velilla de San Antonio;-;28891;616223506;916608062;-;Público;-;
Madrid-Oeste;28050161;E MUN. MUS-DANZA;VILLANUEVA DE LA CAÑADA;Calle Olivar, 10 ;Villanueva de la Cañada;-;28691;918117001;918156646;-;Público;-;
Madrid-Oeste;28057854;E MUN. MUS-DANZA;VILLANUEVA DEL PARDILLO;Calle Real, 4 ;Villanueva del Pardillo;-;28229;918152384;918153212;-;Público;-;
