CONSULTA DE CENTROS Y SERVICIOS EDUCATIVOS;;;;;;;;;;;;
AREA TERRITORIAL;CODIGO CENTRO;TIPO DE CENTRO;CENTRO;DOMICILIO;MUNICIPIO;DISTRITO MUNICIPAL;COD. POSTAL;TELEFONO;FAX;INTEGRACION PREFERENTE;TITULARIDAD;SERVICIOS
Madrid-Sur;28030204;CEPA;AGUSTINA DE ARAGON;Calle Camino De Humanes, 63 ;Móstoles;-;28936;916852466;916852228;-;Público;-;
Madrid-Sur;28045360;CEPA;ALFAR;Calle Del Cabo San Vicente, 1 ;Alcorcón;-;28924;916102917;916111903;-;Público;-;
Madrid-Oeste;28059395;CEPA;ALMAJAN;Avenida De Torrelodones (edificio Torreforum), 8 ;Torrelodones;-;28250;918596524;918596525;-;Público;-;
Madrid-Capital;28030125;CEPA;ALUCHE;Calle De Ocaña, 35bis ;Madrid;Latina;28047;917179100;917171035;-;Público;-;
Madrid-Capital;28045608;CEPA;ARGANZUELA;Calle De La Batalla Del Salado, 29 ;Madrid;Arganzuela;28045;915395395;915395395;-;Público;-;
Madrid-Norte;28059401;CEPA;BUITRAGO DE LOZOYA;Calle De La Fuente De Arriba, 1 ;Buitrago del Lozoya;-;28730;918680487;918680487;-;Público;-;
Madrid-Capital;28043259;CEPA;CANILLEJAS;Calle De Las Musas, 11 ;Madrid;San Blas-Canillejas;28022;917411860;913200943;-;Público;-;
Madrid-Sur;28030101;CEPA;CASA DE LA CULTURA;Calle Guadalajara, 3 ;Getafe;-;28901;916959798;916960340;-;Público;-;
Madrid-Capital;28045268;CEPA;CID CAMPEADOR;Calle Del General García Escámez, 12 ;Madrid;Latina;28044;917058402;915095174;-;Público;-;
Madrid-Capital;28045271;CEPA;CIUDAD LINEAL;Calle Hnos García Noblejas (acceso Por Luis Campos), 70 ;Madrid;Ciudad Lineal;28017;917545206;913045783;-;Público;-;
Madrid-Norte;28038641;CEPA;COLMENAR VIEJO;Plaza De Eulogio Carrasco, S/n ;Colmenar Viejo;-;28770;918458620;918463617;-;Público;-;
Madrid-Este;28038631;CEPA;COSLADA;Avenida De Los Príncipes De España (edif. La Rambla), S/n ;Coslada;-;28823;916726226;916746049;-;Público;-;
Madrid-Capital;28030113;CEPA;CULTURAL MORATALAZ;Calle Del Corregidor Alonso De Tobar, 7 ;Madrid;Moratalaz;28030;914370219;914378411;-;Público;-;
Madrid-Capital;28038689;CEPA;DAOIZ Y VELARDE;Calle De Fernando Ortiz, 2 ;Madrid;Usera;28041;915651055;915697036;-;Público;-;
Madrid-Capital;28059361;CEPA;DISTRITO CENTRO;Calle De San Bernardo (edificio I.e.s Lope De Vega), 70 ;Madrid;Centro;28015;915329959;915329959;-;Público;-;
