CONSULTA DE CENTROS Y SERVICIOS EDUCATIVOS;;;;;;;;;;;;
AREA TERRITORIAL;CODIGO CENTRO;TIPO DE CENTRO;CENTRO;DOMICILIO;MUNICIPIO;DISTRITO MUNICIPAL;COD. POSTAL;TELEFONO;FAX;INTEGRACION PREFERENTE;TITULARIDAD;SERVICIOS
Madrid-Este;28700313;EOEP GENERAL;EQUIPO GENERAL ALCALA DE HENARES;Calle Entrepeñas, 2 ;Alcalá de Henares;-;28802;918814145;918787310;-;Público;-;
Madrid-Norte;28700489;EOEP GENERAL;EQUIPO GENERAL ALCOBENDAS;Calle Del Fuego, 73 ;Alcobendas;-;28100;916616555;916612357;-;Público;-;
Madrid-Sur;28700362;EOEP GENERAL;EQUIPO GENERAL ALCORCON;Calle Institutos, S/n ;Alcorcón;-;28923;916116900;916116961;-;Público;-;
Madrid-Sur;28700374;EOEP GENERAL;EQUIPO GENERAL ARANJUEZ;Calle De Postas, 86 ;Aranjuez;-;28300;918915537;918921173;-;Público;-;
Madrid-Capital;28700222;EOEP GENERAL;EQUIPO GENERAL CARABANCHEL;Avenida De Nuestra Señora De Valvanera, 120 ;Madrid;Carabanchel;28047;914617089;914619625;-;Público;-;
Madrid-Capital;28700209;EOEP GENERAL;EQUIPO GENERAL CENTRO-ARGANZUELA;Calle De Fortuny, 24 ;Madrid;Centro;28010;913914321;913914321;-;Público;-;
Madrid-Oeste;28700453;EOEP GENERAL;EQUIPO GENERAL COLLADO VILLALBA;Calle Isla De Sálvora, 155 ;Collado Villalba;-;28400;918492789;918507342;-;Público;-;
Madrid-Norte;28700490;EOEP GENERAL;EQUIPO GENERAL COLMENAR VIEJO;Calle De Carlos Aragón Cancela, 5 ;Colmenar Viejo;-;28770;918457789;918467343;-;Público;-;
Madrid-Este;28700337;EOEP GENERAL;EQUIPO GENERAL COSLADA;Calle De La Virgen De La Cabeza, 2 ;Coslada;-;28821;916733312;916697748;-;Público;-;
Madrid-Oeste;28701007;EOEP GENERAL;EQUIPO GENERAL DE GUADARRAMA;Calle Gustavo Adolfo Bécquer, 1 ;Guadarrama;-;28440;918542279;918542552;-;Público;-;
Madrid-Oeste;28700994;EOEP GENERAL;EQUIPO GENERAL DE LAS ROZAS;Camino Perales, S/n ;Rozas de Madrid, Las;-;28232;916403970;916403974;-;Público;-;
Madrid-Sur;28700386;EOEP GENERAL;EQUIPO GENERAL FUENLABRADA;Calle Logroño, 2 ;Fuenlabrada;-;28941;916977461;916977461;-;Público;-;
Madrid-Sur;28700398;EOEP GENERAL;EQUIPO GENERAL GETAFE;Calle Montserrat Caballé, 2 ;Getafe;-;28903;916832149;916828209;-;Público;-;
Madrid-Capital;28700283;EOEP GENERAL;EQUIPO GENERAL HORTALEZA-BARAJAS;Carretera De Canillas, 51 ;Madrid;Hortaleza;28043;917592462;917597016;-;Público;-;
Madrid-Norte;28700507;EOEP GENERAL;EQUIPO GENERAL LA CABRERA;Calle De Carlos Ruiz, 2 ;Cabrera, La;-;28751;918688403;918689532;-;Público;-;
Madrid-Capital;28700210;EOEP GENERAL;EQUIPO GENERAL LATINA;Calle De Tembleque, 58 ;Madrid;Latina;28024;917172806;917172265;-;Público;-;
Madrid-Sur;28700404;EOEP GENERAL;EQUIPO GENERAL LEGANES;Calle Maestro, 14 ;Leganés;-;28914;916801171;916809956;-;Público;-;
Madrid-Capital;28700192;EOEP GENERAL;EQUIPO GENERAL MONCLOA-CHAMBERI;Calle Del General Oraá, 39 ;Madrid;Salamanca;28006;915338835;915332586;-;Público;-;
Madrid-Capital;28700258;EOEP GENERAL;EQUIPO GENERAL MORATALAZ-VILLA DE VALLECAS;Calle De Pico De Los Artilleros, 123 ;Madrid;Moratalaz;28030;917732533;917732688;-;Público;-;
Madrid-Sur;28700416;EOEP GENERAL;EQUIPO GENERAL MOSTOLES;Calle París, 9 ;Móstoles;-;28938;916183200;916183112;-;Público;-;
Madrid-Sur;28700428;EOEP GENERAL;EQUIPO GENERAL NAVALCARNERO;Calle Cuesta Del Tostonero, 2 ;Navalcarnero;-;28600;918112533;918112533;-;Público;-;
Madrid-Sur;28700431;EOEP GENERAL;EQUIPO GENERAL PARLA;Calle Pintor Rosales, 1-b ;Parla;-;28982;916980604;916981350;-;Público;-;
Madrid-Oeste;28700465;EOEP GENERAL;EQUIPO GENERAL POZUELO DE ALARCON;Avenida Monte, 2 ;Pozuelo de Alarcón;-;28223;917157162;917157162;-;Público;-;
Madrid-Capital;28700246;EOEP GENERAL;EQUIPO GENERAL PUENTE VALLECAS;Plaza De Sierra Ministra, 3 ;Madrid;Puente de Vallecas;28053;914772358;914789129;-;Público;-;
Madrid-Capital;28700295;EOEP GENERAL;EQUIPO GENERAL RETIRO-SALAMANCA-CHAMARTIN;Calle De Pío Baroja, 4 ;Madrid;Retiro;28009;915733932;915735056;-;Público;-;
Madrid-Este;28700325;EOEP GENERAL;EQUIPO GENERAL RIVAS-ARGANDA;Calle De Los Picos De Urbión, S/n ;Rivas-Vaciamadrid;-;28522;914990324;913011837;-;Público;-;
