CONSULTA DE CENTROS Y SERVICIOS EDUCATIVOS;;;;;;;;;;;;
AREA TERRITORIAL;CODIGO CENTRO;TIPO DE CENTRO;CENTRO;DOMICILIO;MUNICIPIO;DISTRITO MUNICIPAL;COD. POSTAL;TELEFONO;FAX;INTEGRACION PREFERENTE;TITULARIDAD;SERVICIOS
Madrid-Norte;28700611;EOEP ATEN-TEMPR;EQUIPO ATENCION TEMPRANA LA CABRERA-LOZOYUELA;Calle De Carlos Ruiz, 8 ;Cabrera, La;-;28751;918688470;918688470;-;Público;-;
Madrid-Capital;28700544;EOEP ATEN-TEMPR;EQUIPO ATENCION TEMPRANA LATINA-CARABANCHEL-CENTRO;Calle De Tembleque, 58 ;Madrid;Latina;28024;913106779;913602063;-;Público;-;
Madrid-Sur;28700659;EOEP ATEN-TEMPR;EQUIPO ATENCION TEMPRANA LEGANES;Avenida De La Mancha, 2 ;Leganés;-;28915;916873146;91 680 24 36;-;Público;-;
Madrid-Capital;28700581;EOEP ATEN-TEMPR;EQUIPO ATENCION TEMPRANA MORATALAZ-VILLA DE VALLECAS;Calle Del Pico De Los Artilleros, 123 ;Madrid;Moratalaz;28030;917513136;917720033;-;Público;-;
Madrid-Sur;28700660;EOEP ATEN-TEMPR;EQUIPO ATENCION TEMPRANA MOSTOLES;Calle París, 9 ;Móstoles;-;28938;916480067;916480068;-;Público;-;
Madrid-Sur;28700672;EOEP ATEN-TEMPR;EQUIPO ATENCION TEMPRANA NAVALCARNERO;Calle Cuesta Del Tostonero, 2 ;Navalcarnero;-;28600;918114028;918114028;-;Público;-;
Madrid-Sur;28700787;EOEP ATEN-TEMPR;EQUIPO ATENCION TEMPRANA PARLA;Calle Pintor Rosales, S/n ;Parla;-;28982;916052082;916992961;-;Público;-;
Madrid-Oeste;28700911;EOEP ATEN-TEMPR;EQUIPO ATENCION TEMPRANA POZUELO DE ALARCON;Avenida Del Monte, 2 ;Pozuelo de Alarcón;-;28223;917992735;917156993;-;Público;-;
Madrid-Capital;28700556;EOEP ATEN-TEMPR;EQUIPO ATENCION TEMPRANA PUENTE DE VALLECAS;Calle De Luis Marín, 1 ;Madrid;Puente de Vallecas;28038;913039979;917791125;-;Público;-;
Madrid-Capital;28700568;EOEP ATEN-TEMPR;EQUIPO ATENCION TEMPRANA SAN BLAS;Avenida Canillejas A Vicalvaro, 82 ;Madrid;San Blas-Canillejas;28022;913066418;913064808;-;Público;-;
Madrid-Sur;28701019;EOEP ATEN-TEMPR;EQUIPO ATENCION TEMPRANA SAN MARTIN DE VALDEIGLESIAS;Calle De La Fuente, 4 ;San Martín de Valdeiglesias;-;28680;918610839;918610118;-;Público;-;
Madrid-Capital;28700571;EOEP ATEN-TEMPR;EQUIPO ATENCION TEMPRANA TETUAN;Calle De Las Magnolias, 82 ;Madrid;Tetuán;28029;913232231;913149627;-;Público;-;
Madrid-Oeste;28700714;EOEP ATEN-TEMPR;EQUIPO ATENCION TEMPRANA TORRELODONES;Carretera De Torrelodones, 35 ;Torrelodones;-;28250;918592894;918592800;-;Público;-;
Madrid-Oeste;28700726;EOEP ATEN-TEMPR;EQUIPO ATENCÍON TEMPRANA VILLANUEVA DE LA CAÑADA;Camino Móstoles, 1 ;Villanueva de la Cañada;-;28691;918155276;918157180;-;Público;-;
Madrid-Capital;28700593;EOEP ATEN-TEMPR;EQUIPO ATENCION TEMPRANA VILLAVERDE;Calle Del Consenso, 10 ;Madrid;Usera;28041;913176966;913188734;-;Público;-;
