CONSULTA DE CENTROS Y SERVICIOS EDUCATIVOS;;;;;;;;;;;;
AREA TERRITORIAL;CODIGO CENTRO;TIPO DE CENTRO;CENTRO;DOMICILIO;MUNICIPIO;DISTRITO MUNICIPAL;COD. POSTAL;TELEFONO;FAX;INTEGRACION PREFERENTE;TITULARIDAD;SERVICIOS
Madrid-Este;28700684;EOEP ATEN-TEMPR;EQUIPO ATENCION TEMPRANA ALCALA DE HENARES;Calle Entrepeñas, 2 ;Alcalá de Henares;-;28802;918836280;918836280;-;Público;-;
Madrid-Norte;28700601;EOEP ATEN-TEMPR;EQUIPO ATENCION TEMPRANA ALCOBENDAS-SAN SEBASTIAN DE LOS REYES;Avenida De Rosa Luxemburgo, S/n ;San Sebastián de los Reyes;-;28700;916541814;916541814;-;Público;-;
Madrid-Sur;28700908;EOEP ATEN-TEMPR;EQUIPO ATENCION TEMPRANA ALCORCON;Calle Institutos, S/n ;Alcorcón;-;28923;916111703;916114704;-;Público;-;
Madrid-Sur;28700921;EOEP ATEN-TEMPR;EQUIPO ATENCION TEMPRANA ARANJUEZ;Calle Del Hospital, 3 ;Aranjuez;-;28300;918754257;918914203;-;Público;-;
Madrid-Este;28700696;EOEP ATEN-TEMPR;EQUIPO ATENCION TEMPRANA ARGANDA DEL REY;Avenida De La Azucarera, 2 ;Arganda del Rey;-;28500;918353921;-;-;Público;-;
Madrid-Norte;28700623;EOEP ATEN-TEMPR;EQUIPO ATENCION TEMPRANA COLMENAR VIEJO-TRES CANTOS;Calle Del Viento, 4 ;Tres Cantos;-;28760;912938199;912938198;-;Público;-;
Madrid-Este;28700702;EOEP ATEN-TEMPR;EQUIPO ATENCION TEMPRANA COSLADA-SAN FERNANDO;Calle Rafael Sánchez Ferlosio, S/n ;San Fernando de Henares;-;28830;914850154;-;-;Público;-;
Madrid-Sur;28700635;EOEP ATEN-TEMPR;EQUIPO ATENCION TEMPRANA FUENLABRADA;Calle Logroño, 2 ;Fuenlabrada;-;28941;916065751;916970296;-;Público;-;
Madrid-Sur;28700647;EOEP ATEN-TEMPR;EQUIPO ATENCION TEMPRANA GETAFE;Calle Montserrat Caballé, 2 ;Getafe;-;28903;916832147;916828209;-;Público;-;
Madrid-Capital;28700532;EOEP ATEN-TEMPR;EQUIPO ATENCION TEMPRANA HORTALEZA;Calle Del Mar Caspio, 6 ;Madrid;Hortaleza;28033;913817347;913817347;-;Público;-;
