CONSULTA DE CENTROS Y SERVICIOS EDUCATIVOS;;;;;;;;;;;;
AREA TERRITORIAL;CODIGO CENTRO;TIPO DE CENTRO;CENTRO;DOMICILIO;MUNICIPIO;DISTRITO MUNICIPAL;COD. POSTAL;TELEFONO;FAX;INTEGRACION PREFERENTE;TITULARIDAD;SERVICIOS
Madrid-Este;28600604;CF EMPLEO;CENTRO DE FORMACION EN EDIFICACION Y OBRA CIVIL;Finca Tirabuey, S/n ;Paracuellos de Jarama;-;-;916580413;916582725;-;Público;-;
Madrid-Sur;28600586;CF EMPLEO;CENTRO DE FORMACION EN ELECTRICIDAD, ELECTRONICA Y AERONAUTICA;Paseo De La Ermita, 17 ;Leganés;-;28918;916800126;916807723;-;Público;-;
Madrid-Capital;28600562;CF EMPLEO;CENTRO DE FORMACION EN SEGUROS;Carretera M-607 Colmenar Viejo, K13,8 ;Madrid;Fuencarral-El Pardo;28049;913721125;913721541;-;Público;-;
Madrid-Sur;28600574;CF EMPLEO;CENTRO DE FORMACION EN TECNOLOGIAS DE LA INFORMACION Y LAS COMUNICACIONES MADRID SUR;Avenida De Las Arcas Del Agua (sector 3), 2 ;Getafe;-;28905;916838160;916838562;-;Público;-;
Madrid-Capital;28600598;CF EMPLEO;CENTRO DE FORMACION EN TECNOLOGIAS DEL FRIO Y LA CLIMATIZACION;Calle De La Hacienda De Pavones, 350 ;Madrid;Moratalaz;28030;913710250;-;-;Público;-;
