CONSULTA DE CENTROS Y SERVICIOS EDUCATIVOS;;;;;;;;;;;;
AREA TERRITORIAL;CODIGO CENTRO;TIPO DE CENTRO;CENTRO;DOMICILIO;MUNICIPIO;DISTRITO MUNICIPAL;COD. POSTAL;TELEFONO;FAX;TITULARIDAD
Madrid-Sur;28073896;CP INF-PRI;ABAD Y HARIJA;Calle Gabriel Cisneros, S/n ;Torrejón de la Calzada;-;28991;918145588;-;Público;
Madrid-Sur;28003857;CP INF-PRI;ABEN HAZAM;Calle Bureba, 22 ;Leganés;-;28915;916888944;916888944;Público;
Madrid-Sur;28060269;CP INF-PRI;AGORA;Calle Miguel Indurain, S/n ;Brunete;-;28690;918165001;918164559;Público;
Madrid-Oeste;28063970;CP INF-PRI;AGORA;Calle De Gutiérrez Soto, 12 ;Boadilla del Monte;-;28660;916337147;916337146;Público;
Madrid-Sur;28071802;CP INF-PRI;AGUSTIN DE ARGÜELLES;Calle De Las Hayas, S/n ;Alcorcón;-;28922;912647224;912645980;Público;
Madrid-Capital;28063751;CP INF-PRI;AGUSTIN RODRIGUEZ SAHAGUN;Calle De La Granja De San Ildefonso, 17-19 ;Madrid;Villa de Vallecas;28051;913324348;914941475;Público;
Madrid-Capital;28004989;CP INF-PRI;AGUSTINA DIEZ;Calle Del Vesubio, 5 ;Madrid;Puente de Vallecas;28038;917770073;917773052;Público;
Madrid-Este;28002865;CP INF-PRI;ALARILLA;Calle De La Virgen De Alarilla, 10 ;Fuentidueña de Tajo;-;28597;918728403;918728403;Público;
Madrid-Capital;28004990;CP INF-PRI;ALBERTO ALCOCER;Avenida Canillejas-vicalvaro, 56 ;Madrid;San Blas-Canillejas;28022;913202609;913200446;Público;
Madrid-Capital;28018393;CP INF-PRI;ALCALDE DE MOSTOLES;Calle De Aldeanueva De La Vera, 9 ;Madrid;Latina;28044;917055465;915095129;Público;
Madrid-Norte;28044641;CP INF-PRI;ALDEBARAN;Calle De La Salvia, 1 ;Tres Cantos;-;28760;918043398;918043535;Público;
Madrid-Norte;28003420;CP INF-PRI;ALEJANDRO RUBIO;Calle Prado Panetes, 36 ;Guadalix de la Sierra;-;28794;918470256;918470773;Público;
Madrid-Sur;28035615;CP INF-PRI;ALFONSO R. CASTELAO;Calle De Azorín, 24 ;Móstoles;-;28935;916183975;916179850;Público;
Madrid-Capital;28005003;CP INF-PRI;ALFONSO X EL SABIO;Calle De La Fuente De San Pedro, 6 ;Madrid;Vicálvaro;28032;913719661;917765962;Público;
Madrid-Capital;28077865;CP INF-PRI;ALFREDO DI STEFANO;Calle De Félix Candela, 4 ;Madrid;Hortaleza;28055;660906527;912723215;Público;
Madrid-Este;28074591;CP INF-PRI;ALFREDO LANDA;Avenida De Lisboa, 9 ;Coslada;-;28822;916715082;916716036;Público;
Madrid-Capital;28038318;CP INF-PRI;ALHAMBRA;Calle De Ramón Gómez De La Serna, 103 ;Madrid;Fuencarral-El Pardo;28035;913162273;913737021;Público;
Madrid-Este;28074581;CP INF-PRI;ALICIA DE LARROCHA;Calle Río Guadarrama, 5 ;Alcalá de Henares;-;28803;918899076;918899076;Público;
Madrid-Sur;28049444;CP INF-PRI;ALONSO CANO;Calle De Alonso Cano, 1 ;Móstoles;-;28932;916183187;916183187;Público;
Madrid-Capital;28066302;CP INF-PRI;ALVARO DE BAZAN;Calle De Zurich, 10 ;Madrid;San Blas-Canillejas;28022;917757114;913067517;Público;
Madrid-Capital;28018401;CP INF-PRI;AMADEO VIVES;Calle De Los Yébenes, 6 ;Madrid;Latina;28047;917183389;917199055;Público;
Madrid-Capital;28010412;CP INF-PRI;AMADOR DE LOS RIOS;Paseo Del Marqués De Zafra, 16 ;Madrid;Salamanca;28028;917252610;917261891;Público;
Madrid-Capital;28005854;CP INF-PRI;AMOS ACERO;Calle De Rodríguez Espinosa, 54 ;Madrid;Puente de Vallecas;28053;914785161;914772415;Público;
Madrid-Sur;28063866;CP INF-PRI;ANA MARIA MATUTE;Avenida Rosa Chacel, 4 ;Getafe;-;28903;916962303;916825616;Público;
Madrid-Este;28077208;CP INF-PRI;ANDREA CASAMAYOR;Avenida Valdediego C/v C/. Quevedo ;Paracuellos de Jarama;-;28860;659164913;-;Público;
Madrid-Sur;28028362;CP INF-PRI;ANDRES MANJON;Calle Galicia, 25 ;Fuenlabrada;-;28942;916081704;916082968;Público;
Madrid-Este;28037752;CP INF-PRI;ANDRES SEGOVIA;Calle Circunvalación, 10 ;Torrejón de Ardoz;-;28850;916565434;916784135;Público;
